X,Y,Z,__index,__rangexy,return_idx,num_returns,reflectance,elongation,Normal change rate (1),Number of neighbors (r=1),Surface density (r=1),Eigenentropy (1),Anisotropy (1),Planarity (1),Linearity (1),Surface variation (1),Sphericity (1),Verticality (1),3rd eigenvalue (1),Noise
2.25500011,-0.07900000,-0.52600002,9240.000000,2.256000,0.000000,1.000000,127.000000,8.000000,0.140319,85.000000,27.056339,0.734127,0.736349,0.351634,0.384715,0.140319,0.263651,0.035235,0.052622,1.000000
3.47600007,-0.72399998,-0.72200000,9375.000000,3.551000,0.000000,1.000000,194.000000,14.000000,0.018201,6881.000000,2190.290283,0.620156,0.974012,0.375813,0.598199,0.018201,0.025988,0.054345,0.006761,1.000000
3.49799991,-1.04499996,-0.96700001,9451.000000,3.651000,0.000000,1.000000,182.000000,11.000000,0.012575,6522.000000,2076.017090,0.594216,0.982007,0.394865,0.587142,0.012575,0.017993,0.055293,0.004303,1.000000
3.31100011,-1.36000001,-0.76499999,9558.000000,3.579000,0.000000,1.000000,184.000000,11.000000,0.020874,5983.000000,1904.447998,0.590560,0.971656,0.301168,0.670488,0.020874,0.028344,0.046769,0.007180,1.000000
3.57599998,-2.07599998,-0.73299998,9714.000000,4.135000,0.000000,1.000000,182.000000,12.000000,0.015308,6348.000000,2020.631104,0.647576,0.976157,0.509890,0.466266,0.015308,0.023843,0.057515,0.006001,1.000000
3.48900008,-2.03999996,-0.71499997,9718.000000,4.042000,0.000000,1.000000,178.000000,11.000000,0.016967,6061.000000,1929.276123,0.632837,0.974453,0.454616,0.519837,0.016967,0.025547,0.056186,0.006375,1.000000
3.35200000,-2.24900007,-0.86100000,9772.000000,4.037000,0.000000,1.000000,154.000000,12.000000,0.015595,5137.000000,1635.157837,0.601602,0.978091,0.361035,0.617056,0.015595,0.021909,0.054988,0.005519,1.000000
2.92700005,-1.93599999,-0.67500001,9773.000000,3.509000,0.000000,1.000000,204.000000,15.000000,0.076581,3164.000000,1007.132446,0.541838,0.892169,0.192411,0.699758,0.076581,0.107831,0.000330,0.019340,1.000000
2.51399994,-1.76999998,-0.51599997,9815.000000,3.075000,0.000000,2.000000,3.000000,1.000000,0.076979,631.000000,200.853531,0.611947,0.873809,0.386899,0.486910,0.076979,0.126191,0.303006,0.022524,1.000000
2.88100004,-2.90300012,-0.84200001,9984.000000,4.090000,0.000000,1.000000,164.000000,11.000000,0.039383,2153.000000,685.321167,0.508052,0.948386,0.207356,0.741030,0.039383,0.051614,0.026780,0.009768,1.000000
3.06100011,-4.32200003,-0.69599998,10189.000000,5.296000,0.000000,1.000000,254.000000,15.000000,0.053242,1854.000000,590.146484,0.580689,0.922442,0.301596,0.620845,0.053242,0.077558,0.034011,0.015437,1.000000
1.86099994,-2.66799998,-0.42899999,10202.000000,3.253000,0.000000,2.000000,134.000000,9.000000,0.124100,47.000000,14.960565,0.635198,0.795082,0.241393,0.553689,0.124100,0.204918,0.048463,0.037133,1.000000
2.31900001,-3.83699989,-0.43500000,10281.000000,4.483000,0.000000,2.000000,47.000000,7.000000,0.093783,52.000000,16.552114,0.711637,0.845795,0.335861,0.509934,0.093783,0.154205,0.667031,0.036483,1.000000
2.97499990,-5.05800009,-0.54799998,10286.000000,5.868000,0.000000,2.000000,12.000000,4.000000,0.094238,1124.000000,357.780304,0.519360,0.858223,0.220903,0.637320,0.094238,0.141777,0.067348,0.020880,1.000000
2.29099989,2.06100011,-0.52499998,10617.000000,3.082000,0.000000,2.000000,36.000000,5.000000,0.149221,57.000000,18.143663,0.761105,0.729479,0.271845,0.457634,0.149221,0.270521,0.002616,0.060597,1.000000
2.63100004,2.06599998,-0.52800000,10686.000000,3.346000,0.000000,1.000000,254.000000,15.000000,0.134343,285.000000,90.718315,0.681802,0.757604,0.319514,0.438091,0.134343,0.242396,0.350540,0.044222,1.000000
3.37800002,2.69000006,-0.94999999,10699.000000,4.318000,0.000000,1.000000,117.000000,8.000000,0.015351,5427.000000,1727.467651,0.601624,0.980057,0.259234,0.720822,0.015351,0.019943,0.053683,0.006044,1.000000
2.16599989,1.24600005,-0.54799998,10857.000000,2.499000,0.000000,2.000000,10.000000,3.000000,0.102665,67.000000,21.326761,0.758786,0.806107,0.500822,0.305285,0.102665,0.193893,0.103804,0.043167,1.000000
3.46199989,1.62300003,-0.69199997,10943.000000,3.824000,0.000000,1.000000,254.000000,15.000000,0.026003,5333.000000,1697.546631,0.611936,0.964320,0.300816,0.663504,0.026003,0.035680,0.041007,0.009470,1.000000
